_type,url,date,content,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags
snscrape.modules.twitter.Tweet,https://twitter.com/a_samaravi/status/1421230182896128001,2021-07-30 22:04:15+00:00,Vem ser Mais IFMG!📚💡 https://t.co/4MmvU39b4c,Vem ser Mais IFMG!📚💡 twitter.com/maisifmg/statu…,1421230182896128001,"{'_type': 'snscrape.modules.twitter.User', 'username': 'a_samaravi', 'id': 1171979269851029504, 'displayname': 'Samara', 'description': '📖💻Divulgação de cursos da plataforma +IFMG mais.ifmg.edu.br/c0', 'rawDescription': '📖💻Divulgação de cursos da plataforma +IFMG https://t.co/OPpRnhCLJ6', 'descriptionUrls': [{'text': 'mais.ifmg.edu.br/c0', 'url': 'https://mais.ifmg.edu.br/c0', 'tcourl': 'https://t.co/OPpRnhCLJ6', 'indices': [43, 66]}], 'verified': False, 'created': '2019-09-12T02:50:40+00:00', 'followersCount': 167, 'friendsCount': 167, 'statusesCount': 136, 'favouritesCount': 136, 'listedCount': 0, 'mediaCount': 0, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1292116063682007040/Xb2pe3lz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1171979269851029504/1619563061', 'url': 'https://twitter.com/a_samaravi'}",0,0,0,0,1421230182896128001,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['https://twitter.com/maisifmg/status/1421205011372167170'],['https://t.co/4MmvU39b4c'],,,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/maisifmg/status/1421205011372167170', 'date': '2021-07-30T20:24:14+00:00', 'content': 'Já somos + de 50 cursos! O +IFMG está cada vez mais perto de você!\nQualificação profissional gratuita e de qualidade. Acesse: https://t.co/dsxKIQ87CX 😁 https://t.co/ApqJcJ4q6C', 'renderedContent': 'Já somos + de 50 cursos! O +IFMG está cada vez mais perto de você!\nQualificação profissional gratuita e de qualidade. Acesse: mais.ifmg.edu.br 😁 https://t.co/ApqJcJ4q6C', 'id': 1421205011372167170, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'maisifmg', 'id': 1365653612735660035, 'displayname': 'Mais IFMG', 'description': 'Plataforma de cursos online e rádio web do Instituto Federal de Minas Gerais.', 'rawDescription': 'Plataforma de cursos online e rádio web do Instituto Federal de Minas Gerais.', 'descriptionUrls': None, 'verified': False, 'created': '2021-02-27T13:22:56+00:00', 'followersCount': 50, 'friendsCount': 10, 'statusesCount': 130, 'favouritesCount': 7, 'listedCount': 0, 'mediaCount': 129, 'location': '', 'protected': False, 'linkUrl': 'https://mais.ifmg.edu.br/', 'linkTcourl': 'https://t.co/YtLOOeNX4b', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1365654624749965314/qVwK7lpC_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1365653612735660035/1614462044', 'url': 'https://twitter.com/maisifmg'}, 'replyCount': 0, 'retweetCount': 0, 'likeCount': 4, 'quoteCount': 1, 'conversationId': 1421205011372167170, 'lang': 'pt', 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'sourceUrl': 'https://mobile.twitter.com', 'sourceLabel': 'Twitter Web App', 'outlinks': ['https://mais.ifmg.edu.br'], 'tcooutlinks': ['https://t.co/dsxKIQ87CX'], 'media': [{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1421204194757947392/pu/img/jqwqJwFFDSmuT_Tc.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1421204194757947392/pu/vid/320x320/r_nWBhY2uYKPuhgz.mp4?tag=12', 'bitrate': 432000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1421204194757947392/pu/vid/540x540/HmTosTEgShgR7KF7.mp4?tag=12', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1421204194757947392/pu/vid/720x720/j2omXMWemlbjWBcX.mp4?tag=12', 'bitrate': 1280000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1421204194757947392/pu/pl/pIbX4tod0kqksgF_.m3u8?tag=12&container=fmp4', 'bitrate': None}], 'duration': 51.718, 'views': 26}], 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': None, 'inReplyToUser': None, 'mentionedUsers': None, 'coordinates': None, 'place': None, 'hashtags': None, 'cashtags': None}",,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/MilenaFofao/status/1421220047536656384,2021-07-30 21:23:58+00:00,O mais engraçado é que quem fala na matéria é a Daniela que é outra professora de climatologia do IFMG,O mais engraçado é que quem fala na matéria é a Daniela que é outra professora de climatologia do IFMG,1421220047536656384,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MilenaFofao', 'id': 1169767579705053184, 'displayname': '𝕸𝖎𝖑𝖊𝖓𝖆', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': '2019-09-06T00:21:52+00:00', 'followersCount': 352, 'friendsCount': 246, 'statusesCount': 16019, 'favouritesCount': 13118, 'listedCount': 0, 'mediaCount': 40, 'location': 'Gv Hell', 'protected': False, 'linkUrl': 'https://instagram.com/milenadasv?utm_medium=copy_link', 'linkTcourl': 'https://t.co/94LPLq5kK1', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1420264003020935168/qO96tHng_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1169767579705053184/1630879746', 'url': 'https://twitter.com/MilenaFofao'}",0,0,0,0,1421219621370204169,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.4212196213702042e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MilenaFofao', 'id': 1169767579705053184, 'displayname': '𝕸𝖎𝖑𝖊𝖓𝖆', 'description': '', 'rawDescription': '', 'descriptionUrls': None, 'verified': False, 'created': '2019-09-06T00:21:52+00:00', 'followersCount': 352, 'friendsCount': 246, 'statusesCount': 16019, 'favouritesCount': 13118, 'listedCount': 0, 'mediaCount': 40, 'location': 'Gv Hell', 'protected': False, 'linkUrl': 'https://instagram.com/milenadasv?utm_medium=copy_link', 'linkTcourl': 'https://t.co/94LPLq5kK1', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1420264003020935168/qO96tHng_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1169767579705053184/1630879746', 'url': 'https://twitter.com/MilenaFofao'}",,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/maisifmg/status/1421213540711608321,2021-07-30 20:58:07+00:00,"Neste sábado teremos mais um episódio da série ""Ciência e Educação"" comandado pelos estudantes dos cursos de Engenharia de Produção e Letras do campus Congonhas do IFMG! O ""VCDJ"" está um sucesso, não deixe de acompanhar https://t.co/oJ8QIa7unn","Neste sábado teremos mais um episódio da série ""Ciência e Educação"" comandado pelos estudantes dos cursos de Engenharia de Produção e Letras do campus Congonhas do IFMG! O ""VCDJ"" está um sucesso, não deixe de acompanhar https://t.co/oJ8QIa7unn",1421213540711608321,"{'_type': 'snscrape.modules.twitter.User', 'username': 'maisifmg', 'id': 1365653612735660035, 'displayname': 'Mais IFMG', 'description': 'Plataforma de cursos online e rádio web do Instituto Federal de Minas Gerais.', 'rawDescription': 'Plataforma de cursos online e rádio web do Instituto Federal de Minas Gerais.', 'descriptionUrls': None, 'verified': False, 'created': '2021-02-27T13:22:56+00:00', 'followersCount': 50, 'friendsCount': 10, 'statusesCount': 130, 'favouritesCount': 7, 'listedCount': 0, 'mediaCount': 129, 'location': '', 'protected': False, 'linkUrl': 'https://mais.ifmg.edu.br/', 'linkTcourl': 'https://t.co/YtLOOeNX4b', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1365654624749965314/qVwK7lpC_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1365653612735660035/1614462044', 'url': 'https://twitter.com/maisifmg'}",0,1,5,0,1421213540711608321,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E7kqJmUWQAA7kJU?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E7kqJmUWQAA7kJU?format=jpg&name=large'}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/maisifmg/status/1421210983431905280,2021-07-30 20:47:57+00:00,"O programa “VCDJ” deste sábado entrevista o Professor do IFMG Ricardo de Lima, que possui vasta experiência nas áreas de automação e mecânica! O tema da entrevista é “Segurança do Trabalho”, não perca, está imperdível!  #maisifmg https://t.co/BsCaxWlqRg","O programa “VCDJ” deste sábado entrevista o Professor do IFMG Ricardo de Lima, que possui vasta experiência nas áreas de automação e mecânica! O tema da entrevista é “Segurança do Trabalho”, não perca, está imperdível!  #maisifmg https://t.co/BsCaxWlqRg",1421210983431905280,"{'_type': 'snscrape.modules.twitter.User', 'username': 'maisifmg', 'id': 1365653612735660035, 'displayname': 'Mais IFMG', 'description': 'Plataforma de cursos online e rádio web do Instituto Federal de Minas Gerais.', 'rawDescription': 'Plataforma de cursos online e rádio web do Instituto Federal de Minas Gerais.', 'descriptionUrls': None, 'verified': False, 'created': '2021-02-27T13:22:56+00:00', 'followersCount': 50, 'friendsCount': 10, 'statusesCount': 130, 'favouritesCount': 7, 'listedCount': 0, 'mediaCount': 129, 'location': '', 'protected': False, 'linkUrl': 'https://mais.ifmg.edu.br/', 'linkTcourl': 'https://t.co/YtLOOeNX4b', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1365654624749965314/qVwK7lpC_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1365653612735660035/1614462044', 'url': 'https://twitter.com/maisifmg'}",0,1,5,0,1421210983431905280,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E7knpcLX0AE-AhS?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E7knpcLX0AE-AhS?format=jpg&name=large'}]",,,,,,,,['maisifmg'],
snscrape.modules.twitter.Tweet,https://twitter.com/maisifmg/status/1421205011372167170,2021-07-30 20:24:14+00:00,"Já somos + de 50 cursos! O +IFMG está cada vez mais perto de você!
Qualificação profissional gratuita e de qualidade. Acesse: https://t.co/dsxKIQ87CX 😁 https://t.co/ApqJcJ4q6C","Já somos + de 50 cursos! O +IFMG está cada vez mais perto de você!
Qualificação profissional gratuita e de qualidade. Acesse: mais.ifmg.edu.br 😁 https://t.co/ApqJcJ4q6C",1421205011372167170,"{'_type': 'snscrape.modules.twitter.User', 'username': 'maisifmg', 'id': 1365653612735660035, 'displayname': 'Mais IFMG', 'description': 'Plataforma de cursos online e rádio web do Instituto Federal de Minas Gerais.', 'rawDescription': 'Plataforma de cursos online e rádio web do Instituto Federal de Minas Gerais.', 'descriptionUrls': None, 'verified': False, 'created': '2021-02-27T13:22:56+00:00', 'followersCount': 50, 'friendsCount': 10, 'statusesCount': 130, 'favouritesCount': 7, 'listedCount': 0, 'mediaCount': 129, 'location': '', 'protected': False, 'linkUrl': 'https://mais.ifmg.edu.br/', 'linkTcourl': 'https://t.co/YtLOOeNX4b', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1365654624749965314/qVwK7lpC_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1365653612735660035/1614462044', 'url': 'https://twitter.com/maisifmg'}",0,0,4,1,1421205011372167170,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['https://mais.ifmg.edu.br'],['https://t.co/dsxKIQ87CX'],"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/ext_tw_video_thumb/1421204194757947392/pu/img/jqwqJwFFDSmuT_Tc.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1421204194757947392/pu/vid/320x320/r_nWBhY2uYKPuhgz.mp4?tag=12', 'bitrate': 432000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1421204194757947392/pu/vid/540x540/HmTosTEgShgR7KF7.mp4?tag=12', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1421204194757947392/pu/vid/720x720/j2omXMWemlbjWBcX.mp4?tag=12', 'bitrate': 1280000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1421204194757947392/pu/pl/pIbX4tod0kqksgF_.m3u8?tag=12&container=fmp4', 'bitrate': None}], 'duration': 51.718, 'views': 26}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/ifmgnarede/status/1421178641246007296,2021-07-30 18:39:26+00:00,"IFMG abre duas vagas em processo seletivo simplificado para professor visitante com carga horária de 40 horas. Remuneração pode chegar a R$ 6.289,21
https://t.co/jNlpnYg79f","IFMG abre duas vagas em processo seletivo simplificado para professor visitante com carga horária de 40 horas. Remuneração pode chegar a R$ 6.289,21
ifmg.edu.br/portal/noticia…",1421178641246007296,"{'_type': 'snscrape.modules.twitter.User', 'username': 'ifmgnarede', 'id': 132275980, 'displayname': 'IFMG', 'description': 'Perfil oficial do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - IFMG, com Reitoria em Belo Horizonte e campi localizados em 18 cidades.', 'rawDescription': 'Perfil oficial do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - IFMG, com Reitoria em Belo Horizonte e campi localizados em 18 cidades.', 'descriptionUrls': None, 'verified': False, 'created': '2010-04-12T19:57:50+00:00', 'followersCount': 2355, 'friendsCount': 69, 'statusesCount': 1994, 'favouritesCount': 141, 'listedCount': 28, 'mediaCount': 418, 'location': 'Minas Gerais, Brasil', 'protected': False, 'linkUrl': 'http://www.ifmg.edu.br/portal', 'linkTcourl': 'https://t.co/9oOSTnZxZh', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1375079977536925697/oAeuaruc_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/132275980/1628169063', 'url': 'https://twitter.com/ifmgnarede'}",0,0,3,0,1421178641246007296,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['https://www.ifmg.edu.br/portal/noticias/campus-ouro-preto-abre-vagas-para-professor-visitante'],['https://t.co/jNlpnYg79f'],,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/juzesl/status/1421158032365559810,2021-07-30 17:17:33+00:00,ob foi pra onda verde kd as aulas presenciais ifmg agiliza porra,ob foi pra onda verde kd as aulas presenciais ifmg agiliza porra,1421158032365559810,"{'_type': 'snscrape.modules.twitter.User', 'username': 'juzesl', 'id': 1060331577526439942, 'displayname': 'juze', 'description': 'oi', 'rawDescription': 'oi', 'descriptionUrls': None, 'verified': False, 'created': '2018-11-08T00:42:02+00:00', 'followersCount': 1364, 'friendsCount': 1241, 'statusesCount': 14658, 'favouritesCount': 30031, 'listedCount': 0, 'mediaCount': 182, 'location': '', 'protected': False, 'linkUrl': 'http://instagram.com/lucasjosesl', 'linkTcourl': 'https://t.co/COUI15oRL2', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1441634524450983936/WaVHfAyF_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1060331577526439942/1629554124', 'url': 'https://twitter.com/juzesl'}",4,1,19,0,1421158032365559810,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/NandorGarcia/status/1421084776610603013,2021-07-30 12:26:27+00:00,"@reportersalles @jairbolsonaro Estou assistindo hj.... concordo perfeitamente com o presidente e acho que TD os eleitores precisam assistir. Em 2014 ingressei no curso de automação ind. no IFMG , Curso que não conclui, mas básc me ensinou sobre algoritmos. E sim e possível alterar os resultados","@reportersalles @jairbolsonaro Estou assistindo hj.... concordo perfeitamente com o presidente e acho que TD os eleitores precisam assistir. Em 2014 ingressei no curso de automação ind. no IFMG , Curso que não conclui, mas básc me ensinou sobre algoritmos. E sim e possível alterar os resultados",1421084776610603013,"{'_type': 'snscrape.modules.twitter.User', 'username': 'NandorGarcia', 'id': 1234429649238798340, 'displayname': 'Fernando', 'description': 'Conservador de direita.\ncristão, profissional da segurança privada, armamentista. 🇧🇷', 'rawDescription': 'Conservador de direita.\ncristão, profissional da segurança privada, armamentista. 🇧🇷', 'descriptionUrls': None, 'verified': False, 'created': '2020-03-02T10:45:57+00:00', 'followersCount': 182, 'friendsCount': 458, 'statusesCount': 863, 'favouritesCount': 5007, 'listedCount': 1, 'mediaCount': 105, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1234657531420606466/_gxAKYLn_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1234429649238798340/1583181220', 'url': 'https://twitter.com/NandorGarcia'}",0,0,0,0,1420882921368469504,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,1.4208829213684695e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'reportersalles', 'id': 64523460, 'displayname': 'Fernanda Salles', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/reportersalles'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'reportersalles', 'id': 64523460, 'displayname': 'Fernanda Salles', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/reportersalles'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'jairbolsonaro', 'id': 128372940, 'displayname': 'Jair M. Bolsonaro', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/jairbolsonaro'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/MonicaBarrospr1/status/1420950308889501699,2021-07-30 03:32:08+00:00,"""Os professores @MonicaBarrospr1, do @ifmgbetim e Vinícius Paiva, @ifmgpiumhi, eram início a um novo projeto de extensão: o “IFMG Aprova: Concursos em Foco”.
IFMG Aprova: concursos em foco https://t.co/cMKmxlhkCy via @YouTube","""Os professores @MonicaBarrospr1, do @ifmgbetim e Vinícius Paiva, @ifmgpiumhi, eram início a um novo projeto de extensão: o “IFMG Aprova: Concursos em Foco”.
IFMG Aprova: concursos em foco youtu.be/2iLe0m11VVk via @YouTube",1420950308889501699,"{'_type': 'snscrape.modules.twitter.User', 'username': 'MonicaBarrospr1', 'id': 1257430360201351172, 'displayname': 'MonicaBarros_professora', 'description': 'Socióloga, professora de sociologia no @Ifmgbetim, coordenadora de projetos de extensão, membra do @IFNegro.\nINSTAGRAM monicabarros_professora\n#cientistasnegras', 'rawDescription': 'Socióloga, professora de sociologia no @Ifmgbetim, coordenadora de projetos de extensão, membra do @IFNegro.\nINSTAGRAM monicabarros_professora\n#cientistasnegras', 'descriptionUrls': None, 'verified': False, 'created': '2020-05-04T22:02:26+00:00', 'followersCount': 0, 'friendsCount': 39, 'statusesCount': 31, 'favouritesCount': 64, 'listedCount': 0, 'mediaCount': 9, 'location': 'Belo Horizonte', 'protected': False, 'linkUrl': 'https://www.facebook.com/monica.barros.5477/', 'linkTcourl': 'https://t.co/O8EutTfADd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1419089426802778113/1StFKxSK_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1257430360201351172/1627172261', 'url': 'https://twitter.com/MonicaBarrospr1'}",0,0,1,0,1420950308889501699,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['https://youtu.be/2iLe0m11VVk'],['https://t.co/cMKmxlhkCy'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'MonicaBarrospr1', 'id': 1257430360201351172, 'displayname': 'MonicaBarros_professora', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/MonicaBarrospr1'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'ifmgbetim', 'id': 526657498, 'displayname': 'IFMG Campus Betim', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/ifmgbetim'}, {'_type': 'snscrape.modules.twitter.User', 'username': 'YouTube', 'id': 10228272, 'displayname': 'YouTube', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/YouTube'}]",,,,
snscrape.modules.twitter.Tweet,https://twitter.com/maisifmg/status/1420745908031868935,2021-07-29 13:59:55+00:00,"Mais IFMG
O curso “Materiais Cerâmicos: Estruturas, Propriedades e Diagramas de Fases"", está disponível na plataforma +IFMG! Não perca a oportunidade de se capacitar gratuitamente e com qualidade. Conheça os principais conceitos a respeito do estudo dos materiais cerâmicos. https://t.co/gKGxvzx3W3","Mais IFMG
O curso “Materiais Cerâmicos: Estruturas, Propriedades e Diagramas de Fases"", está disponível na plataforma +IFMG! Não perca a oportunidade de se capacitar gratuitamente e com qualidade. Conheça os principais conceitos a respeito do estudo dos materiais cerâmicos. https://t.co/gKGxvzx3W3",1420745908031868935,"{'_type': 'snscrape.modules.twitter.User', 'username': 'maisifmg', 'id': 1365653612735660035, 'displayname': 'Mais IFMG', 'description': 'Plataforma de cursos online e rádio web do Instituto Federal de Minas Gerais.', 'rawDescription': 'Plataforma de cursos online e rádio web do Instituto Federal de Minas Gerais.', 'descriptionUrls': None, 'verified': False, 'created': '2021-02-27T13:22:56+00:00', 'followersCount': 50, 'friendsCount': 10, 'statusesCount': 130, 'favouritesCount': 7, 'listedCount': 0, 'mediaCount': 129, 'location': '', 'protected': False, 'linkUrl': 'https://mais.ifmg.edu.br/', 'linkTcourl': 'https://t.co/YtLOOeNX4b', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1365654624749965314/qVwK7lpC_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1365653612735660035/1614462044', 'url': 'https://twitter.com/maisifmg'}",0,1,4,0,1420745908031868935,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E7eA253VgAUtJTm?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E7eA253VgAUtJTm?format=jpg&name=large'}]",,,,,,,,,
